epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,268.494,0.45711,0.37452,0.88415,0.47391,0.47787,0.48141,0.29975,1.48427,1.02902,1.19578,0.00158399,0.00158399,0.00158399
146,270.304,0.44778,0.34192,0.89209,0.5997,0.59545,0.57171,0.32255,1.43528,0.9455,1.16292,0.00158286,0.00158286,0.00158286
147,272.122,0.45045,0.35924,0.88264,0.77839,0.4856,0.55336,0.34737,1.30278,0.85231,1.10287,0.00158171,0.00158171,0.00158171
148,273.915,0.44278,0.33265,0.89156,0.61471,0.4884,0.50434,0.2982,1.31153,0.84161,1.10158,0.00158056,0.00158056,0.00158056
149,275.764,0.47582,0.37281,0.91675,0.7613,0.46046,0.49514,0.30416,1.29112,0.82722,1.11967,0.0015794,0.0015794,0.0015794
150,277.626,0.44271,0.34466,0.86873,0.59653,0.52553,0.47716,0.30583,1.30461,0.77329,1.12953,0.00157824,0.00157824,0.00157824
151,279.467,0.43798,0.33939,0.8863,0.62335,0.62112,0.56649,0.3703,1.16057,0.75181,1.02167,0.00157706,0.00157706,0.00157706
152,281.326,0.46457,0.34742,0.91634,0.61097,0.63386,0.64851,0.38806,1.14578,0.70931,1.03255,0.00157588,0.00157588,0.00157588
153,283.168,0.40518,0.31414,0.86358,0.88433,0.48649,0.61463,0.35634,1.18169,0.76424,1.06243,0.00157469,0.00157469,0.00157469
154,285.001,0.46491,0.34466,0.90965,0.90367,0.50219,0.58411,0.36726,1.14479,0.73855,1.01365,0.0015735,0.0015735,0.0015735
155,286.836,0.45915,0.34838,0.91359,0.68163,0.50172,0.5071,0.35349,1.24794,0.82269,1.05961,0.0015723,0.0015723,0.0015723
156,288.647,0.45901,0.33632,0.88463,0.61622,0.53899,0.47402,0.30439,1.27779,0.92313,1.09799,0.00157109,0.00157109,0.00157109
157,290.463,0.42629,0.3231,0.87868,0.68735,0.40577,0.46439,0.25725,1.28375,0.92328,1.08635,0.00156987,0.00156987,0.00156987
158,292.271,0.42026,0.3172,0.90012,0.53613,0.56811,0.48165,0.25602,1.30363,0.89277,1.09482,0.00156865,0.00156865,0.00156865
159,294.107,0.44015,0.32944,0.86067,0.60135,0.55066,0.48436,0.27941,1.35412,0.86206,1.1487,0.00156742,0.00156742,0.00156742
160,295.966,0.48805,0.35694,0.91096,0.70057,0.45101,0.43857,0.24729,1.42859,0.93423,1.21522,0.00156618,0.00156618,0.00156618
161,297.837,0.46961,0.33552,0.89749,0.58377,0.51783,0.43736,0.25867,1.38514,1.00681,1.17748,0.00156493,0.00156493,0.00156493
162,299.686,0.46862,0.3589,0.92116,0.69216,0.41356,0.42948,0.24491,1.52017,1.15512,1.22962,0.00156368,0.00156368,0.00156368
163,301.498,0.42522,0.31612,0.90963,0.48736,0.45144,0.37192,0.19931,1.69451,1.20026,1.33288,0.00156242,0.00156242,0.00156242
164,303.345,0.40474,0.31146,0.87838,0.62462,0.41856,0.40263,0.22076,1.62078,1.1443,1.30175,0.00156115,0.00156115,0.00156115
165,305.203,0.40592,0.30492,0.88107,0.65102,0.43967,0.42418,0.19215,1.61643,1.25574,1.28581,0.00155988,0.00155988,0.00155988
166,307.012,0.40435,0.31387,0.87678,0.68814,0.38784,0.43887,0.1706,1.71788,1.58757,1.32704,0.0015586,0.0015586,0.0015586
167,308.816,0.41118,0.3141,0.87491,0.61474,0.44306,0.4346,0.21095,1.56771,1.39632,1.23553,0.00155731,0.00155731,0.00155731
168,310.661,0.41142,0.32702,0.88926,0.7939,0.5563,0.56458,0.2743,1.47027,1.11521,1.1953,0.00155602,0.00155602,0.00155602
169,312.479,0.43552,0.3103,0.88558,0.64008,0.61974,0.54302,0.255,1.44371,1.00315,1.20115,0.00155471,0.00155471,0.00155471
170,314.281,0.42352,0.32553,0.91953,0.62058,0.58423,0.53762,0.29322,1.43787,0.9672,1.1953,0.00155341,0.00155341,0.00155341
171,316.128,0.43142,0.3342,0.88545,0.57712,0.62031,0.55516,0.26336,1.47698,0.99656,1.1952,0.00155209,0.00155209,0.00155209
